"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.42617981882865e-14,1.10595372218139,0.598,0.276,1.1912335047383e-09,"0","MRPL16"
7.55988301167651e-14,0.788373763059873,0.835,0.487,1.21268083390303e-09,"0","GADD45G"
1.03612559016661e-13,1.16995501703842,0.561,0.248,1.66204905918625e-09,"0","ARL4D"
1.13870874746773e-13,0.969084293671288,0.671,0.322,1.82660270181299e-09,"0","CPQ"
1.20688859841424e-13,0.587922454294255,0.878,0.662,1.93597000071629e-09,"0","C19orf70"
1.26815478178856e-13,0.593988230147647,0.902,0.685,2.03424708546702e-09,"0","NDUFS7"
1.40733233826459e-13,0.776463843077204,0.732,0.319,2.25750180381023e-09,"0","ATP6V0A4"
2.41753540407352e-13,0.671703626517142,0.848,0.6,3.87796854167433e-09,"0","MRPL54"
2.7208381919681e-13,0.526028392250518,0.945,0.715,4.36449654373604e-09,"0","COPE"
3.75663553666298e-13,1.15128123032566,0.518,0.22,6.02601906436109e-09,"0","SMIM5"
3.8444518877897e-13,0.663504236896781,0.848,0.584,6.16688527320347e-09,"0","ATP6V1E1"
4.34181340133248e-13,0.841077752970406,0.75,0.451,6.96470287707744e-09,"0","MGST2"
4.64336980106123e-13,1.10919652916429,0.5,0.202,7.44842949788231e-09,"0","APOO"
4.85870148071111e-13,0.927166762097268,0.695,0.347,7.7938430452087e-09,"0","SMIM22"
6.09401773922514e-13,0.888265527280252,0.695,0.338,9.77541385549106e-09,"0","PTGER3"
6.83325401312005e-13,0.736062653202871,0.787,0.417,1.09612227624459e-08,"0","NEDD4L"
8.24618457452153e-13,0.847992192165655,0.768,0.485,1.322770467599e-08,"0","G0S2"
9.53297137896909e-13,1.02688240633014,0.61,0.285,1.52918393890043e-08,"0","COMTD1"
1.17391099137428e-12,0.84197271798186,0.701,0.34,1.88307062126349e-08,"0","CLNK"
1.71807342325976e-12,0.960986295639835,0.604,0.276,2.75596157825098e-08,"0","EPDR1"
1.84869093091601e-12,0.707965166813166,0.829,0.524,2.96548512228237e-08,"0","NDUFS3"
2.18590398574722e-12,0.542002830079695,0.896,0.684,3.50640858353711e-08,"0","MGST3"
2.4779174183072e-12,0.889095075436408,0.677,0.363,3.97482733070658e-08,"0","C7orf55"
2.98276373530311e-12,0.53172809912585,0.89,0.688,4.78465130779973e-08,"0","ATP5H"
3.37540714627878e-12,0.7948494342049,0.774,0.436,5.41449060334579e-08,"0","GOLM1"
5.02535729499131e-12,0.737650621109692,0.78,0.509,8.06117563689555e-08,"0","ATP5G1"
5.37224054536492e-12,0.989307527275907,0.604,0.29,8.61761105881987e-08,"0","LY6K"
5.86298556364185e-12,0.587759317654524,0.866,0.642,9.40481514263789e-08,"0","HSBP1"
6.71553005509858e-12,0.807291596304216,0.738,0.423,1.07723817613836e-07,"0","GCSH"
7.28877365980734e-12,0.71843888048962,0.78,0.504,1.16919218276969e-07,"0","MRPS36"
7.41760181317318e-12,0.859859161033733,0.72,0.375,1.18985750685111e-07,"0","NDRG2"
7.44106701317226e-12,0.853478233376053,0.683,0.367,1.19362155958296e-07,"0","MRPS25"
1.01376312772108e-11,1.09171112982371,0.543,0.247,1.62617743317739e-07,"0","CERS4"
1.27138282826045e-11,0.696037607483802,0.78,0.485,2.03942519481259e-07,"0","CISD1"
1.32862860960067e-11,0.592437078106928,0.866,0.634,2.13125315266043e-07,"0","NDUFA13"
1.88119244717138e-11,0.654687862297328,0.823,0.538,3.01762080450762e-07,"0","TMEM261"
2.3064556696534e-11,1.03315457899691,0.549,0.26,3.69978553969102e-07,"0","MACROD1"
3.1849715759301e-11,0.764541745115474,0.768,0.516,5.10901290494947e-07,"0","SPINK1"
3.27343595513032e-11,0.506406745467451,0.927,0.715,5.25091861562455e-07,"0","NDUFA2"
4.45607750699216e-11,0.86111370372069,0.579,0.265,7.14799392896612e-07,"0","SCNN1A"
4.68330365994059e-11,0.818107956282519,0.683,0.353,7.5124874009107e-07,"0","RAB40B"
4.72506025775533e-11,0.70171928883514,0.768,0.527,7.57946915946532e-07,"0","MPC1"
4.90419676794788e-11,0.572704642157479,0.878,0.605,7.8668220354652e-07,"0","UQCRC1"
5.01197577985009e-11,0.628797902255931,0.872,0.46,8.03971034845753e-07,"0","CA12"
5.46826199738259e-11,0.608001940467768,0.866,0.553,8.77163907000141e-07,"0","ATP6V1A"
5.83319027515649e-11,0.60493157184439,0.866,0.581,9.35702052037852e-07,"0","PFN2"
5.84697631283281e-11,0.895186505540272,0.628,0.338,9.37913470341512e-07,"0","COPRS"
7.6456471504806e-11,0.519235183894844,0.945,0.709,1.22643825940859e-06,"0","SELM"
1.13241481600835e-10,0.522556672892256,0.872,0.662,1.81650660635899e-06,"0","DYNLRB1"
1.97874631250168e-10,1.02327539182532,0.53,0.26,3.17410695988394e-06,"0","MRPL50"
3.42030332809623e-10,0.692634173723461,0.78,0.448,5.48650856859917e-06,"0","MSI2"
4.28008917362318e-10,0.695539536601287,0.726,0.473,6.86569104340894e-06,"0","NDUFB3"
4.71452990757478e-10,0.752332554179918,0.695,0.426,7.5625774247407e-06,"0","PET100"
4.83218139617353e-10,0.5405347774864,0.921,0.643,7.75130217760196e-06,"0","GADD45GIP1"
5.52959875286295e-10,0.779712898336088,0.707,0.422,8.87002935946746e-06,"0","TMED4"
6.10283905755571e-10,0.560009950216926,0.86,0.62,9.78956413222511e-06,"0","GNG11"
